0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	4
9	54
10	76
11	56
12	75
13	73
14	89
15	109
16	125
17	158
18	166
19	142
20	130
21	93
22	89
23	92
24	94
25	109
26	100
27	127
28	116
29	111
30	94
31	101
32	127
33	121
34	132
35	117
36	124
37	127
38	132
39	146
40	141
41	154
42	162
43	142
44	150
45	152
46	166
47	190
48	181
49	203
50	224
51	219
52	199
53	181
54	157
55	186
56	186
57	148
58	181
59	187
60	156
61	158
62	177
63	170
64	156
65	163
66	166
67	156
68	160
69	159
70	151
71	153
72	157
73	139
74	174
75	150
76	142
77	171
78	162
79	150
80	159
81	174
82	160
83	160
84	169
85	157
86	139
87	174
88	144
89	157
90	163
91	145
92	147
93	144
94	127
95	140
96	162
97	125
98	161
99	151
100	155
101	147
102	129
103	128
104	153
105	144
106	154
107	128
108	134
109	162
110	119
111	144
112	143
113	127
114	140
115	146
116	159
117	173
118	179
119	188
120	169
121	180
122	190
123	175
124	195
125	179
126	188
127	177
128	197
129	194
130	180
131	178
132	171
133	193
134	175
135	160
136	167
137	135
138	152
139	147
140	182
141	146
142	158
143	148
144	156
145	152
146	147
147	152
148	137
149	146
150	131
151	128
152	136
153	130
154	157
155	120
156	146
157	141
158	141
159	132
160	105
161	107
162	132
163	121
164	108
165	110
166	119
167	118
168	114
169	135
170	134
171	100
172	87
173	128
174	102
175	124
176	92
177	121
178	95
179	110
180	100
181	117
182	96
183	103
184	114
185	101
186	96
187	111
188	91
189	112
190	85
191	104
192	102
193	96
194	92
195	89
196	89
197	88
198	92
199	82
200	102
201	85
202	90
203	89
204	83
205	91
206	87
207	82
208	96
209	88
210	91
211	87
212	90
213	82
214	94
215	79
216	100
217	81
218	92
219	74
220	99
221	77
222	101
223	73
224	87
225	87
226	82
227	71
228	99
229	71
230	89
231	65
232	69
233	95
234	68
235	81
236	91
237	81
238	72
239	74
240	77
241	83
242	92
243	82
244	74
245	78
246	83
247	80
248	78
249	86
250	80
251	79
252	73
253	89
254	72
255	81
256	96
257	85
258	75
259	66
260	73
261	97
262	92
263	78
264	71
265	73
266	85
267	74
268	77
269	69
270	93
271	82
272	81
273	76
274	86
275	89
276	75
277	77
278	89
279	84
280	78
281	86
282	85
283	80
284	85
285	70
286	84
287	66
288	71
289	64
290	65
291	75
292	61
293	78
294	56
295	61
296	49
297	40
298	45
299	40
300	43
301	42
302	41
303	51
304	41
305	36
306	31
307	51
308	38
309	33
310	32
311	31
312	27
313	36
314	32
315	20
316	23
317	28
318	26
319	24
320	27
321	14
322	22
323	27
324	22
325	15
326	24
327	25
328	19
329	24
330	29
331	17
332	17
333	25
334	17
335	10
336	26
337	13
338	15
339	11
340	15
341	19
342	12
343	17
344	21
345	13
346	10
347	11
348	16
349	9
350	14
351	14
352	12
353	7
354	11
355	16
356	16
357	10
358	14
359	15
360	10
361	13
362	10
363	8
364	7
365	17
366	16
367	11
368	11
369	10
370	15
371	16
372	17
373	14
374	15
375	12
376	19
377	14
378	17
379	13
380	16
381	16
382	13
383	11
384	17
385	16
386	15
387	18
388	14
389	15
390	28
391	34
392	37
393	45
394	54
395	69
396	46
397	70
398	91
399	93
400	101
401	122
402	139
403	133
404	198
405	193
406	257
407	224
408	257
409	292
410	312
411	369
412	378
413	380
414	405
415	416
416	428
417	439
418	456
419	440
420	479
421	445
422	421
423	443
424	407
425	421
426	414
427	338
428	320
429	322
430	246
431	275
432	209
433	197
434	181
435	153
436	130
437	119
438	93
439	75
440	76
441	60
442	62
443	38
444	25
445	28
446	32
447	8
448	15
449	8
450	9
451	7
452	6
453	4
454	6
455	6
456	2
457	5
458	4
459	4
460	1
461	3
462	0
463	2
464	3
465	2
466	3
467	4
468	2
469	2
470	1
471	2
472	1
473	1
474	4
475	3
476	4
477	4
478	2
479	1
480	2
481	2
482	2
483	1
484	2
485	2
486	0
487	1
488	3
489	7
490	1
491	3
492	2
493	1
494	0
495	0
496	3
497	1
498	0
499	2
500	4
