0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	1	1
6	27	5
7	762	28
8	1055	32
9	1254	35
10	1250	35
11	1395	37
12	1373	37
13	1515	39
14	1590	40
15	1571	40
16	1593	40
17	1733	42
18	1692	41
19	1799	42
20	1767	42
21	1919	44
22	1808	43
23	1848	43
24	1918	44
25	2009	45
26	2030	45
27	2020	45
28	2073	46
29	2084	46
30	2074	46
31	2145	46
32	2147	46
33	2218	47
34	2236	47
35	2224	47
36	2315	48
37	2192	47
38	2274	48
39	2227	47
40	2330	48
41	2287	48
42	2336	48
43	2310	48
44	2338	48
45	2356	49
46	2323	48
47	2275	48
48	2285	48
49	2225	47
50	2127	46
51	2103	46
52	2068	45
53	1998	45
54	2046	45
55	1971	44
56	1921	44
57	1810	43
58	1869	43
59	1746	42
60	1686	41
61	1612	40
62	1577	40
63	1536	39
64	1500	39
65	1411	38
66	1402	37
67	1319	36
68	1247	35
69	1192	35
70	1137	34
71	1146	34
72	1091	33
73	1012	32
74	908	30
75	947	31
76	866	29
77	841	29
78	817	29
79	758	28
80	768	28
81	711	27
82	707	27
83	649	25
84	680	26
85	641	25
86	639	25
87	603	25
88	591	24
89	630	25
90	585	24
91	567	24
92	593	24
93	551	23
94	601	25
95	588	24
96	560	24
97	633	25
98	630	25
99	618	25
100	650	25
101	663	26
102	631	25
103	660	26
104	667	26
105	713	27
106	718	27
107	819	29
108	805	28
109	881	30
110	859	29
111	995	32
112	1076	33
113	1328	36
114	1367	37
115	1450	38
116	1582	40
117	1509	39
118	1476	38
119	1166	34
120	805	28
121	457	21
122	341	18
123	318	18
124	318	18
125	272	16
126	243	16
127	141	12
128	87	9
129	39	6
130	16	4
131	15	4
132	21	5
133	16	4
134	11	3
135	11	3
136	19	4
137	10	3
138	12	3
139	11	3
140	17	4
141	9	3
142	14	4
143	11	3
144	10	3
145	11	3
146	7	3
147	4	2
148	3	2
149	5	2
150	6	2
151	3	2
152	3	2
153	4	2
154	3	2
155	2	1
156	3	2
157	1	1
158	3	2
159	2	1
160	4	2
161	4	2
162	0	0
163	1	1
164	2	1
165	3	2
166	2	1
167	3	2
168	1	1
169	0	0
170	0	0
